Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team
100,Larry Doby,56.7,1942,1959,18-35,1674,6920,5883,1080,1697,1076,276,72,273,1099,64,36,945,1011,0.288,0.389,0.499,0.888,140,2936,97,40,27,25,60,56.7,36,54.9,0.8,322,21,14,35,17,849H76/35,"CHW,CLE,DET,NE"
101,Bill Terry,56.5,1923,1936,24-37,1721,7111,6428,1120,2193,1554,373,112,154,1078,56,63,537,449,0.341,0.393,0.506,0.899,136,3252,38,9,137,,32,56.5,33.5,49.8,-0.3,339,7,6,13,73,*3H9/7,NYG
102,Bill Dickey,56.4,1928,1946,21-39,1789,7065,6300,930,1969,1352,343,72,202,1209,36,32,678,289,0.313,0.382,0.486,0.868,127,3062,49,31,51,,101,56.4,31.7,52,10.2,244,0,-3,-3,46,2H,NYY
103,Luis Aparicio,55.8,1956,1973,22-39,2599,11231,10230,1335,2677,2108,394,92,83,791,506,136,736,742,0.262,0.311,0.343,0.653,82,3504,184,27,161,76,22,55.8,20.4,42.2,31.8,-198,18,92,110,149,*6H,"BAL,BOS,CHW"
104,Joe Gordon,55.6,1938,1950,23-35,1566,6537,5707,914,1530,961,264,52,253,975,89,60,759,702,0.268,0.357,0.466,0.822,120,2657,159,29,41,,87,55.6,35.3,40,22.4,138,-9,4,-5,150,*43H/6,"CLE,NYY"
105,Joe Mauer,55.6,2004,2018,21-35,1858,7960,6930,1018,2123,1522,428,30,143,923,52,19,939,1034,0.306,0.388,0.439,0.827,124,3040,208,25,6,60,145,55.6,27.8,53,3.4,239,-5,8,4,25,23DH/9,MIN
106,Max Carey,55.6,1910,1929,20-39,2476,10772,9363,1545,2665,2017,419,159,70,802,738,127,1040,695,0.285,0.361,0.386,0.747,108,3612,,77,290,,6,55.6,22.1,47.2,-0.1,118,0,96,96,86,*879H,"BRO,PIT"
107,Hank Greenberg,55.6,1930,1947,19-36,1394,6098,5193,1046,1628,847,379,71,331,1274,58,30,852,844,0.313,0.412,0.605,1.017,159,3142,66,16,35,,82,55.6,34.6,54.1,-4.4,425,-16,7,-9,17,37H,"DET,PIT"
108,Gabby Hartnett,55.5,1922,1941,21-40,1990,7300,6432,867,1912,1216,396,64,236,1179,28,32,703,697,0.297,0.37,0.489,0.858,126,3144,93,35,127,,114,55.5,31.1,48.1,13.3,212,-16,-9,-25,78,2H3,"CHC,NYG"
109,David Ortiz,55,1997,2016,21-40,2408,10091,8640,1419,2472,1280,632,19,541,1768,17,9,1319,1750,0.286,0.38,0.552,0.931,141,4765,236,38,2,92,209,55,20,56.7,-21.2,455,-12,-39,-51,-17,D3H,"BOS,MIN"
110,George Sisler,54.9,1915,1930,22-37,2055,9018,8267,1284,2812,2121,425,164,102,1178,375,149,472,327,0.34,0.379,0.468,0.847,125,3871,,48,226,,4,54.9,22.6,54.2,-7.6,276,0,13,13,6,*3H1978/45,"BSN,SLB,WSH"
111,Joe Sewell,54.9,1920,1933,21-34,1903,8333,7132,1141,2226,1673,436,68,49,1054,74,74,842,114,0.312,0.391,0.413,0.804,109,2945,,80,275,,25,54.9,23.4,55.2,9.1,148,1,5,6,-4,65H4,"CLE,NYY"
112,Joe Medwick,54.5,1932,1948,20-36,1984,8143,7635,1198,2471,1613,540,113,205,1383,42,37,437,551,0.324,0.362,0.505,0.867,134,3852,203,26,44,,101,54.5,26.6,50.2,-4.8,320,-13,8,-5,45,*7H938,"BRO,BSN,NYG,STL"
113,Sam Rice,54.3,1915,1934,25-44,2404,10260,9269,1514,2987,2271,498,184,34,1077,351,147,708,275,0.322,0.374,0.427,0.801,112,3955,,56,213,,10,54.3,16.4,48.8,-4,187,4,16,20,56,*98H7/1,"CLE,WSH"
114,Willie Keeler,54.3,1892,1910,20-38,2123,9619,8591,1719,2932,2513,241,145,33,810,495,,524,136,0.341,0.388,0.415,0.802,127,3562,,129,366,,,54.3,20.9,53.1,-9.9,354,0,-6,-6,30,*9O54/H76,"BLN,BRO,NYG,NYY"
115,Tony Pérez,53.9,1964,1986,22-44,2777,10861,9778,1272,2732,1769,505,79,379,1652,49,33,925,1867,0.279,0.341,0.463,0.804,122,4532,268,43,9,106,150,53.9,17.9,51,-6.6,267,-30,-13,-43,13,35HD/4,"BOS,CIN,MON,PHI"
116,Harry Hooper,53.5,1909,1925,21-37,2309,10278,8785,1429,2466,1842,389,160,75,816,375,141,1136,582,0.281,0.368,0.387,0.755,114,3400,,76,247,,3,53.5,15.4,45.5,-4.4,194,0,-8,-8,77,*97H8/1,"BOS,CHW"
117,Jimmy Collins,53.3,1895,1908,25-38,1725,7460,6795,1055,1999,1466,352,116,65,983,194,,426,266,0.294,0.343,0.409,0.752,113,2778,,84,147,,,53.3,26.4,42.5,16.8,117,0,-11,-11,121,*5OH/64,"BOS,BSN,LOU,PHA"
118,Joe Tinker,53.2,1902,1916,21-35,1806,7166,6441,774,1690,1282,263,114,31,785,336,12,416,526,0.262,0.308,0.353,0.661,96,2274,,10,285,,,53.2,30.5,32.8,34.3,-37,0,10,10,180,*65H/49,"CHC,CHI,CIN"
119,Minnie Miñoso,53.2,1946,1980,22-56,1948,8233,7059,1228,2113,1458,365,95,195,1089,216,130,848,584,0.299,0.387,0.461,0.848,130,3253,185,197,69,57,43,53.2,28.3,50.9,-5.7,324,1,10,11,25,759H8/36,"CHW,CLE,NYC,STL,WSA"
120,Elmer Flick,52.7,1898,1910,22-34,1483,6434,5597,950,1752,1272,268,164,48,756,330,,597,567,0.313,0.389,0.445,0.834,148,2492,,99,121,,,52.7,29.3,50.3,-5.5,335,0,0,0,30,*9O84H7,"CLE,PHA,PHI"
121,Fred McGriff,52.6,1986,2004,22-40,2460,10174,8757,1349,2490,1532,441,24,493,1550,72,38,1305,1882,0.284,0.377,0.509,0.886,134,4458,226,39,2,71,171,52.6,19.9,56.2,-17.3,399,-13,-22,-35,-34,*3DH,"ATL,CHC,LAD,SDP,TBD,TOR"
122,Bid McPhee,52.5,1882,1899,22-39,2138,9429,8304,1684,2258,1713,303,189,53,1072,568,,982,377,0.272,0.355,0.373,0.728,107,3098,,87,56,,,52.5,25,40.3,16.2,104,0,12,12,154,*4/O5,CIN
123,Jim O'Rourke,52.1,1872,1904,21-53,1999,9052,8503,1729,2639,1960,468,149,62,1208,229,12,513,362,0.31,0.352,0.422,0.775,134,3591,6,36,0,,,52.1,21.9,57.2,-9.6,375,0,-5,-5,-30,O2356/14,"BOS,BSN,BUF,MAN,NYG,NYI,PRO,WHS"
124,Earl Averill,51.6,1929,1941,27-39,1669,7221,6353,1224,2019,1252,401,128,238,1164,70,58,774,518,0.318,0.395,0.534,0.928,133,3390,7,33,55,,36,51.6,25.9,54.8,-5.3,319,22,14,36,-32,*8H79,"BSN,CLE,DET"
125,Bobby Doerr,51.3,1937,1951,19-33,1865,8030,7093,1094,2042,1349,381,89,223,1247,54,64,809,608,0.288,0.362,0.461,0.823,115,3270,187,11,115,,53,51.3,26.8,46.3,13.5,144,-12,-3,-15,43,*4H,BOS
126,Kirby Puckett,51.1,1984,1995,24-35,1783,7831,7244,1071,2304,1626,414,57,207,1085,134,76,450,965,0.318,0.36,0.477,0.837,124,3453,188,56,23,58,85,51.1,25.7,53,-0.3,234,8,13,21,-14,*89DH7/456,MIN
127,Joe Kelley,50.4,1891,1908,19-36,1853,8163,7006,1421,2220,1603,358,194,65,1194,443,,911,430,0.317,0.402,0.451,0.853,133,3161,,82,140,,,50.4,22.9,50.5,-7.4,370,0,1,1,18,O73854H6/9,"BLA,BLN,BRO,BSN,CIN,PIT"
128,Ted Simmons,50.4,1968,1988,18-38,2456,9685,8680,1074,2472,1694,483,47,248,1389,21,33,855,694,0.285,0.348,0.437,0.785,118,3793,287,39,11,100,188,50.4,19,53.7,5.2,172,-25,-16,-41,-34,2D3H75/9,"ATL,MIL,STL"
129,Orlando Cepeda,50.1,1958,1974,20-36,2124,8699,7927,1131,2351,1528,417,27,379,1365,142,80,588,1169,0.297,0.35,0.499,0.849,133,3959,218,102,4,74,154,50.1,18,50.4,-13.8,324,-22,-10,-32,-11,37DH9/5,"ATL,BOS,KCR,OAK,SFG,STL"
130,Dave Bancroft,49.9,1915,1930,24-39,1913,8250,7182,1048,2004,1575,320,77,32,591,145,90,827,487,0.279,0.355,0.358,0.714,98,2574,,23,212,,4,49.9,23.9,40.5,23.5,17,0,-2,-2,93,*6H4/57,"BRO,BSN,NYG,PHI"
131,Turkey Stearnes,49.8,1923,1940,22-39,993,4279,3807,917,1326,795,231,113,187,1009,130,,418,,0.348,0.417,0.616,1.032,177,2344,0,29,25,,0,49.8,36.1,47.5,0,403,0,2,2,20,*8/37915,"CAG,DS,DTS,KCM,PS"
132,Mickey Cochrane,49.8,1925,1937,22-34,1482,6211,5169,1041,1652,1136,333,64,119,830,64,47,857,217,0.32,0.419,0.478,0.897,129,2470,,29,151,,20,49.8,26.6,53.8,0.7,273,5,8,13,-40,*2H/7,"DET,PHA"
133,Willie Wells,49.5,1924,1948,19-43,1039,4471,3920,932,1292,830,257,65,140,873,160,,487,,0.33,0.407,0.535,0.943,152,2099,,28,36,,0,49.5,35.5,46,8.8,298,0,6,6,33,*6/73485,"BEG,CAG,DW,HG,IC,MRS,NBY,NE,SLS"
134,Nellie Fox,49.3,1947,1965,19-37,2367,10351,9232,1279,2663,2161,355,112,35,790,76,80,719,216,0.288,0.348,0.363,0.71,94,3347,175,142,208,48,30,49.3,18.6,37.2,21,-50,16,19,35,120,*4H/53,"CHW,HOU,PHA"
135,Oscar Charleston,48.8,1920,1941,23-44,931,3927,3354,861,1221,752,243,80,146,861,210,,483,,0.364,0.448,0.615,1.063,184,2062,0,28,62,,0,48.8,36.5,46.9,-1.2,415,0,12,12,17,8391/75,"ABC,HBG,HG,HIL,PC,PS,SLG,TC,TC2"
136,Heinie Manush,48.2,1923,1939,21-37,2008,8422,7654,1288,2524,1763,491,160,110,1183,113,69,506,345,0.33,0.377,0.479,0.856,121,3665,11,70,186,,33,48.2,17.1,48.5,-7.7,238,10,18,28,-1,*78H9/3,"BOS,BRO,DET,PIT,SLB,WSH"
137,Kiki Cuyler,48.1,1921,1938,22-39,1879,8100,7161,1305,2299,1620,394,157,128,1065,328,148,676,752,0.321,0.386,0.474,0.86,125,3391,53,85,176,,20,48.1,21.9,47.6,-5.6,270,-1,24,23,14,987H,"BRO,CHC,CIN,PIT"
138,Ralph Kiner,48.1,1946,1955,23-32,1472,6256,5205,971,1451,827,216,39,369,1015,22,18,1011,749,0.279,0.398,0.548,0.946,149,2852,126,24,9,7,90,48.1,24.3,53,-10.7,365,-8,-4,-12,-40,*783H,"CHC,CLE,PIT"
139,Buck Ewing,48,1880,1897,20-37,1315,5772,5363,1129,1625,1126,250,178,71,883,354,,392,294,0.303,0.351,0.456,0.807,129,2444,,9,8,,,48,28.5,42.5,9.7,199,0,25,25,78,23O546/1,"CIN,CLV,NYG,NYI,TRO"
140,Johnny Evers,47.7,1902,1929,20-47,1784,7230,6137,919,1659,1361,216,70,12,536,324,26,778,293,0.27,0.356,0.334,0.69,106,2051,,39,256,,0,47.7,24.2,33.3,15.4,81,0,2,2,127,456H/9,"BSN,CHC,CHW,PHI"
141,Jim Rice,47.7,1974,1989,21-36,2089,9058,8225,1249,2452,1618,373,79,382,1451,58,34,670,1423,0.298,0.352,0.502,0.854,128,4129,315,64,5,94,77,47.7,18.8,45.7,-8,292,-42,5,-37,24,7D9H/8,BOS
142,Tony Lazzeri,47.6,1926,1939,22-35,1740,7314,6297,986,1840,1213,334,115,178,1194,148,82,869,864,0.292,0.38,0.467,0.846,121,2938,8,21,116,,40,47.6,20.5,48.2,5.2,190,-7,-15,-22,-4,*456H/73,"BRO,CHC,NYG,NYY"
143,King Kelly,47,1878,1893,20-35,1456,6457,5896,1357,1813,1283,359,102,69,950,368,,549,418,0.307,0.368,0.438,0.806,138,2583,,12,,,,47,25.7,49.9,-1.6,292,0,22,22,-12,O256431,"BOS,BSN,CHC,CIN,CKK,NYG"
144,Chuck Klein,46.7,1928,1944,23-39,1753,7172,6486,1168,2076,1304,398,74,300,1201,79,72,601,521,0.32,0.379,0.543,0.922,137,3522,55,12,69,,48,46.7,22.9,51.2,-11.9,339,20,3,23,-40,97H8/3,"CHC,PHI,PIT"
145,Frank Chance,46,1898,1914,21-37,1288,5138,4299,798,1274,975,200,79,20,596,403,0,556,320,0.296,0.394,0.394,0.788,135,1692,,137,111,,,46,28.6,40.7,2.9,210,0,28,28,48,329HO/78,"CHC,NYY"
146,Edd Roush,45.8,1913,1931,20-38,1967,8157,7363,1099,2376,1787,339,182,68,981,268,134,484,260,0.323,0.369,0.446,0.815,126,3283,,53,256,,10,45.8,20.8,46.8,-6.1,262,3,-13,-10,-6,*8H739/4,"CHW,CIN,IND,NEW,NYG"
147,Deacon White,45.7,1871,1890,23-42,1560,6973,6624,1140,2067,1675,270,98,24,988,70,9,308,221,0.312,0.346,0.393,0.74,127,2605,8,41,,,,45.7,22.1,49.3,1.7,257,0,-7,-7,-19,52O34/61,"BOS,BSN,BUF,CHC,CIN,CLE,DTN,PIT"
148,Lou Brock,45.3,1961,1979,22-40,2616,11240,10332,1610,3023,2247,486,141,149,900,938,307,761,1730,0.293,0.343,0.41,0.753,109,4238,114,49,47,46,124,45.3,8.3,49,-16.8,120,25,78,103,-51,*79H8,"CHC,STL"
149,Earle Combs,45,1924,1935,25-36,1455,6514,5746,1186,1866,1345,309,154,58,633,98,70,670,278,0.325,0.397,0.462,0.859,125,2657,,17,74,,8,45,21.5,44.5,-2.7,246,8,10,17,6,*87H9,NYY
150,Red Schoendienst,44.9,1945,1963,22-40,2216,9224,8479,1223,2449,1860,427,78,84,773,89,60,606,346,0.289,0.337,0.387,0.724,94,3284,180,21,97,19,30,44.9,10.8,38.4,15.2,-51,0,24,24,79,*4H765/8,"MLN,NYG,STL"
151,Sam Thompson,44.4,1885,1906,25-46,1410,6526,5998,1261,1988,1358,343,161,126,1308,232,,452,234,0.331,0.384,0.505,0.89,147,3031,,63,13,,,44.4,22.5,45,-7.2,389,0,-19,-19,11,*O/93,"DET,DTN,PHI"
152,Travis Jackson,44.2,1922,1936,18-32,1656,6682,6086,833,1768,1256,291,86,135,929,71,70,412,565,0.291,0.337,0.433,0.77,102,2636,39,10,171,,29,44.2,22.2,30.9,22.9,7,-2,-4,-6,139,65H/49,NYG
153,Rabbit Maranville,43.9,1912,1935,20-43,2670,11260,10078,1256,2605,2020,380,177,28,884,291,150,839,756,0.258,0.318,0.34,0.658,82,3423,21,39,300,,4,43.9,8.1,30.9,30.8,-224,-1,4,4,130,*64/H5,"BRO,BSN,CHC,PIT,STL"
154,Gil Hodges,43.8,1943,1963,19-39,2071,8104,7030,1105,1921,1208,295,48,370,1274,63,42,943,1137,0.273,0.359,0.487,0.846,120,3422,165,25,56,50,109,43.8,12.7,40.8,-5.4,187,-4,3,-1,47,*3H2759/48,"BRO,LAD,NYM"
155,Hugh Duffy,43.1,1888,1906,21-39,1737,7842,7044,1554,2293,1743,325,119,106,1302,574,,664,268,0.326,0.386,0.451,0.837,123,3174,,29,104,,,43.1,17.9,38.2,-2.5,249,0,18,18,67,*O8674H/5923,"BOS,BSN,CHC,CHI,MLA,PHI"
156,Tony Oliva,43,1962,1976,23-37,1676,6880,6301,870,1917,1320,329,48,220,947,86,55,448,645,0.304,0.353,0.476,0.83,131,3002,139,59,14,57,131,43,20.2,38.4,-4.4,215,2,5,8,56,9DH87,MIN
157,Hughie Jennings,42.3,1891,1918,22-49,1284,5648,4895,992,1526,1188,232,88,18,840,359,0,347,234,0.312,0.391,0.406,0.797,118,1988,,287,119,,,42.3,23.3,38.2,9,172,0,11,11,60,634/H59O7,"BLN,BRO,DET,LOU,PHI"
158,Roger Bresnahan,42.1,1897,1915,18-36,1446,5389,4481,682,1252,937,218,71,26,530,212,4,714,403,0.279,0.386,0.377,0.764,126,1690,,67,112,,,42.1,24.2,42.5,6.5,166,0,-3,-3,-3,28H59347/16O,"BLA,CHC,NYG,STL,WHS"
159,Phil Rizzuto,42.1,1941,1956,23-38,1661,6719,5816,877,1588,1249,239,62,38,563,149,58,651,398,0.273,0.351,0.355,0.706,93,2065,107,49,193,2,35,42.1,22.1,29.7,22.9,-27,2,23,25,116,*6H/4,NYY
160,Roy Campanella,42,1937,1957,15-35,1449,5727,5030,786,1422,899,232,31,260,1019,38,20,609,501,0.283,0.363,0.496,0.859,125,2496,146,35,35,18,114,42,20.9,38.6,9,150,-18,-2,-20,45,*2H97/815,"BEG,BRO,PS,WEG"
161,Dave Parker,40.1,1973,1991,22-40,2466,10184,9358,1272,2712,1772,526,75,339,1493,154,113,683,1537,0.29,0.339,0.471,0.81,121,4405,209,56,1,86,170,40.1,6.5,41.7,-14.8,213,4,-19,-15,-21,9DH783/4,"CAL,CIN,MIL,OAK,PIT,TOR"
162,Pie Traynor,38.8,1920,1937,21-38,1941,8298,7559,1183,2416,1823,371,164,58,1273,158,88,472,278,0.32,0.362,0.435,0.797,107,3289,47,31,231,,19,38.8,11.9,42.6,2,96,-3,15,12,-32,*56H/3,PIT
163,Harold Baines,38.7,1980,2001,21-42,2830,11092,9908,1299,2866,1945,488,49,384,1628,34,34,1062,1441,0.289,0.356,0.465,0.82,121,4604,298,14,9,99,187,38.7,1.8,40.6,-19.5,234,-19,-10,-29,-12,D9H8/7,"BAL,CHW,CLE,OAK,TEX"
164,Hack Wilson,38.7,1923,1934,23-34,1348,5557,4760,884,1461,884,266,67,244,1063,52,34,674,713,0.307,0.395,0.545,0.94,144,2593,15,20,102,,29,38.7,20.6,42.5,-7.2,303,-8,1,-6,-33,*879H/4,"BRO,CHC,NYG,PHI"
165,Josh Gibson,38.3,1930,1946,18-34,602,2526,2168,612,808,449,135,58,166,733,40,,336,,0.373,0.458,0.718,1.176,214,1557,1,4,18,0,11,38.3,31,37.8,1.5,348,0,-2,-2,3,23975/81,"HG,MRS,PC"
166,Ernie Lombardi,37.7,1931,1947,23-39,1853,6353,5855,601,1792,1298,277,27,190,990,8,9,430,262,0.306,0.358,0.46,0.818,126,2693,261,46,18,,153,37.7,15.9,39.5,3.8,181,-48,-10,-58,-12,2H,"BRO,BSN,CIN,NYG"
167,George Kell,37.6,1943,1957,20-34,1795,7529,6702,880,2054,1541,385,50,78,870,51,36,621,287,0.306,0.367,0.414,0.781,112,2773,188,36,149,20,33,37.6,15.1,35.6,1.6,135,-4,7,3,15,*53H7/49,"BAL,BOS,CHW,DET,PHA"
168,Mule Suttles,36.5,1924,1944,23-43,909,3623,3220,720,1093,625,213,75,180,883,85,,370,,0.339,0.41,0.62,1.03,172,1996,1,15,18,0,2,36.5,24.9,35.6,-3.1,320,0,0,0,5,37945/816,"BBB,CAG,DW,NBY,NE,SLS,WAP"
169,Bill Mazeroski,36.4,1956,1972,19-35,2163,8379,7755,769,2016,1522,294,62,138,853,27,23,447,706,0.26,0.299,0.367,0.667,84,2848,194,20,87,70,110,36.4,5,19.6,24,-160,-2,-6,-8,147,*4H5,PIT
170,Jim Bottomley,35.9,1922,1937,22-37,1991,8358,7471,1177,2313,1478,465,151,219,1422,58,55,664,591,0.31,0.369,0.5,0.869,125,3737,33,43,177,,35,35.9,8.8,43.6,-15.9,259,0,-2,-2,-73,*3H/4,"CIN,SLB,STL"
171,John Ward,34.3,1878,1894,18-34,1827,8114,7656,1410,2107,1754,231,96,26,869,540,,421,326,0.275,0.314,0.341,0.655,92,2608,,17,20,,,34.3,11.1,29.7,10.4,-38,0,35,35,75,641O5,"BRO,BWW,NYG,PRO"
172,Jud Wilson,33.3,1923,1945,29-51,911,3563,3082,625,1080,750,203,50,77,728,104,,416,,0.35,0.434,0.524,0.958,154,1614,0,39,26,0,1,33.3,22.5,32.1,-0.5,262,0,5,5,10,359476,"BBS,HG,NLG,NYC,PC,PS"
173,Ray Schalk,33,1912,1929,19-36,1762,6243,5306,579,1345,1086,199,49,11,593,177,69,638,358,0.253,0.34,0.316,0.656,83,1675,,59,214,,5,33,8.6,23.8,18.3,-95,0,3,3,90,2H,"CHW,NYG"
174,Ross Youngs,32.7,1917,1926,20-29,1211,5337,4627,812,1491,1120,236,93,42,592,153,93,550,390,0.322,0.399,0.441,0.839,130,2039,,37,119,,6,32.7,15.8,31.6,-4.7,197,0,-3,-3,15,*94H/87,NYG
175,Monte Irvin,32.1,1938,1956,19-37,1044,4062,3523,580,1076,739,155,43,139,684,52,9,474,220,0.305,0.391,0.492,0.883,135,1734,81,29,24,11,26,32.1,17.5,28.6,0.9,181,-8,4,-4,40,7936H854,"CHC,NE,NYG"
176,Chick Hafey,31.2,1924,1937,21-34,1283,5116,4625,777,1466,894,341,67,164,833,70,52,372,477,0.317,0.372,0.526,0.898,133,2433,28,33,83,,37,31.2,14.4,32.5,-5.6,202,0,7,7,-8,789H,"CIN,STL"
177,Cool Papa Bell,30.9,1922,1946,19-43,1202,5361,4767,1152,1548,1157,262,72,57,596,285,,531,,0.325,0.394,0.446,0.84,126,2125,0,14,49,0,1,30.9,15.6,31.7,-3.9,191,0,16,16,-15,*8713/945,"CAG,DW,HG,PC,SLS"
178,Rick Ferrell,30.7,1929,1947,23-41,1884,7076,6028,687,1692,1295,324,45,28,734,29,35,931,277,0.281,0.378,0.363,0.741,95,2190,55,10,103,,68,30.7,6.4,27.4,9.4,3,-22,-2,-24,39,*2H,"BOS,SLB,WSH"
179,Buck Leonard,30,1935,1948,27-40,604,2614,2163,549,748,457,144,50,97,548,32,,403,,0.346,0.453,0.593,1.046,180,1283,2,20,28,0,2,30,22.6,27.8,-0.6,268,0,-2,-2,21,7-Mar,HG
180,Lloyd Waner,29.8,1927,1945,21-39,1993,8337,7772,1201,2459,2033,281,118,27,598,67,60,420,173,0.316,0.353,0.393,0.747,99,3057,57,26,108,,9,29.8,3,28.9,-2.1,27,20,14,34,17,*8H79/45,"BRO,BSN,CIN,PHI,PIT"
181,Freddie Lindstrom,28.5,1924,1936,18-30,1438,6109,5611,895,1747,1262,301,81,103,779,84,99,334,276,0.311,0.351,0.449,0.8,110,2519,35,13,146,,11,28.5,8.8,27,2.6,85,-2,-13,-15,21,5879H4/6,"BRO,CHC,NYG,PIT"
182,Biz Mackey,25.8,1920,1947,22-49,900,3442,3081,497,1011,735,167,57,52,604,60,5,298,9,0.328,0.39,0.47,0.86,131,1448,0,16,47,,0,25.8,14.8,25,2.5,141,0,-3,-3,4,2653497/18,"ABC,BBS,BEG,HIL,NE,NYC,PC,PS,WEG"
183,Cristóbal Torriente,25.7,1920,1932,26-38,646,2613,2235,471,759,511,140,53,55,532,93,,323,,0.34,0.427,0.523,0.951,158,1170,,20,35,,,25.7,17.4,24.4,-0.9,193,0,1,1,11,*897153/4,"CAG,DS,KCM,LVB"
184,George Kelly,25.6,1915,1932,19-36,1622,6570,5993,819,1778,1217,337,76,148,1020,65,64,386,694,0.297,0.342,0.452,0.794,109,2711,,28,158,,14,25.6,4.2,21.2,-1.2,61,0,-1,-1,52,34H798/51,"BRO,CHC,CIN,NYG,PIT"
185,Bullet Rogan,23.4,1920,1938,26-44,681,2345,2052,413,693,477,106,60,50,419,106,,248,,0.338,0.413,0.521,0.934,152,1069,,16,29,,,23.4,18,22.5,-0.6,156,0,4,4,6,189743/52,KCM
186,Willard Brown,20.2,1937,1948,22-33,431,1785,1652,332,580,355,127,44,54,391,80,2,125,7,0.351,0.398,0.579,0.977,178,957,2,4,4,0,1,20.2,14.9,18.5,0.8,160,0,3,3,15,87694/5H3,"KCM,SLB"
187,Ben Taylor,17.5,1920,1929,31-40,627,2600,2329,378,786,588,135,37,26,449,36,,223,,0.337,0.398,0.461,0.858,133,1073,,10,38,,,17.5,9.2,15.6,-0.9,112,0,-4,-4,16,*31/96,"ABC,AC,BBS,HBG,WP"
188,Tommy McCarthy,16.2,1884,1896,20-32,1273,5739,5120,1066,1493,1205,191,53,44,732,468,,536,185,0.292,0.364,0.375,0.74,102,1922,,50,33,,,16.2,0.2,13.5,-3.1,34,0,15,15,32,*O4561,"BOS,BRO,BSN,PHI,STL"
189,John Henry Lloyd,13.8,1921,1929,37-45,433,1786,1629,297,569,439,87,27,16,308,59,,133,,0.349,0.4,0.465,0.865,131,758,,4,20,,,13.8,8.1,13.6,1.4,76,0,0,0,2,463/5,"AC,COB,HIL,NLG"
190,Judy Johnson,13.6,1923,1936,23-36,709,2884,2663,467,809,592,152,40,25,457,75,5,185,14,0.304,0.35,0.419,0.769,104,1116,,6,30,,,13.6,4.3,11.5,3.7,9,0,-1,-1,21,*56/4319,"HG,HIL,NYC,PC"
191,Red Ruffing,13.2,1924,1947,19-42,882,2084,1937,207,521,374,98,13,36,273,1,1,97,266,0.269,0.306,0.389,0.695,81,753,13,6,44,,4,13.2,12.4,13.3,0.1,-60,-3,0,-3,0,1H/79,"BOS,CHW,NYY"
192,Walter Johnson,12.7,1907,1927,19-39,934,2534,2324,241,547,388,94,41,24,255,13,4,110,419,0.235,0.274,0.342,0.616,76,795,,13,70,,0,12.7,12.3,12.9,-0.1,-83,0,2,2,0,1H/8974,WSH
193,Martín Dihigo,12.4,1923,1945,18-40,397,1617,1418,290,436,278,71,19,68,309,47,,184,,0.307,0.389,0.528,0.918,138,749,,6,9,,0,12.4,8,11.1,1.5,79,0,0,0,14,63154879/2,"CSE,HIL,NYC"
194,Bob Lemon,10.7,1941,1958,20-37,615,1330,1183,148,274,174,54,9,37,147,2,1,93,241,0.232,0.288,0.386,0.674,83,457,9,2,49,3,0,10.7,10.3,10.6,0,-30,4,0,4,0,1H8/59,CLE
195,Early Wynn,9.4,1939,1963,19-43,796,1904,1704,136,365,284,59,5,17,173,1,0,141,330,0.214,0.274,0.285,0.559,54,485,33,2,52,4,1,9.4,9.2,9.4,-0.1,-106,4,-4,0,0,1H,"CHW,CLE,WSH"
196,Warren Spahn,7.6,1942,1965,21-44,783,2056,1872,141,363,265,57,6,35,189,4,2,94,487,0.194,0.234,0.287,0.52,43,537,23,7,68,14,0,7.6,7.5,7.9,-0.1,-147,6,-7,-1,0,1H,"BSN,MLN,NYM,SFG"
197,Bob Gibson,7.5,1959,1975,23-39,596,1489,1328,132,274,201,44,5,24,144,13,10,63,415,0.206,0.243,0.301,0.545,50,400,13,8,72,18,0,7.5,7.3,7.3,0.3,-94,3,-4,-1,0,1H,STL
198,Tom Glavine,6.8,1987,2008,21-42,688,1645,1323,93,246,218,25,2,1,90,1,0,101,329,0.186,0.244,0.21,0.454,22,278,14,2,216,3,0,6.8,6.6,6.8,0,-148,4,-7,-4,0,1H,"ATL,NYM"
199,Ray Brown,6.5,1931,1945,23-37,429,1407,1260,193,335,215,74,21,25,197,10,,123,,0.266,0.332,0.417,0.749,101,526,0,1,23,0,2,6.5,4.4,6.3,-0.6,-3,0,0,0,0,1987/3546,"AB2,DW,HG"
200,Christy Mathewson,6.2,1900,1916,19-35,647,1900,1687,151,362,293,50,12,7,167,20,1,116,218,0.215,0.272,0.271,0.543,60,457,,17,69,,,6.2,6.1,6.5,-0.2,-81,0,0,0,-1,1/H397,"CIN,NYG"
201,Burleigh Grimes,6.2,1916,1934,22-40,632,1687,1535,157,380,305,62,11,2,168,15,6,69,241,0.248,0.282,0.306,0.588,58,470,1,5,76,,0,6.2,6.1,6.3,-0.2,-97,-1,3,2,0,1H,"BRO,BSN,CHC,NYG,NYY,PIT,STL"
