Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team
17,Mike Schmidt,106.9,1972,1989,22-39,2404,10062,8352,1506,2234,1219,408,59,548,1595,174,92,1507,1883,0.267,0.38,0.527,0.908,148,4404,156,79,16,108,201,106.9,73.7,91.8,18.4,527,-6,-1,-7,127,*53H6/4,PHI
18,Joe Morgan,100.6,1963,1984,19-40,2649,11329,9277,1650,2517,1704,449,96,268,1133,689,162,1865,1015,0.271,0.392,0.427,0.819,132,3962,105,40,51,96,76,100.6,63.5,104.4,3.8,450,25,80,105,-48,*4H7/8,"CIN,HOU,OAK,PHI,SFG"
19,Carl Yastrzemski,96.5,1961,1983,21-43,3308,13992,11988,1816,3419,2262,646,59,452,1844,168,116,1845,1393,0.285,0.379,0.462,0.841,130,5539,323,40,13,105,190,96.5,50.2,78.3,1,450,-2,-2,-5,184,738D5H/9,BOS
20,Eddie Mathews,96,1952,1968,20-36,2391,10101,8537,1509,2315,1377,354,72,512,1453,68,39,1444,1487,0.271,0.376,0.509,0.885,143,4349,123,26,36,58,142,96,58.2,93.7,5.6,501,17,1,18,33,*53H7,"ATL,BSN,DET,HOU,MLN"
21,Cal Ripken Jr.,95.9,1981,2001,20-40,3001,12883,11551,1647,3184,2106,603,44,431,1695,36,39,1129,1305,0.276,0.34,0.447,0.788,112,5168,350,66,10,127,107,95.9,53.5,78.2,35.7,197,-24,-4,-28,181,*65H/D,BAL
22,Roberto Clemente,94.9,1955,1972,20-37,2433,10212,9454,1416,3000,2154,440,166,240,1305,83,46,621,1230,0.317,0.359,0.475,0.834,130,4492,275,35,36,66,167,94.9,57.3,71.7,12.2,378,10,23,33,205,*9H87/45,PIT
23,Cap Anson,94.4,1871,1897,19-45,2524,11331,10281,1999,3435,2614,582,142,97,2075,277,16,984,330,0.334,0.394,0.447,0.841,142,4592,6,32,34,,,94.4,55.5,91.6,5,630,0,-29,-29,61,*35O24/61,"ATH,CHC,ROK"
24,Adrian Beltré,93.7,1998,2018,19-39,2933,12130,11068,1524,3166,2015,636,38,477,1707,121,42,848,1732,0.286,0.339,0.48,0.819,116,5309,279,97,14,103,112,93.7,52.8,71.6,27.3,257,-9,4,-5,220,*5DH/64,"BOS,LAD,SEA,TEX"
25,Al Kaline,92.7,1953,1974,18-39,2834,11597,10116,1622,3007,2035,498,75,399,1582,137,65,1277,1020,0.297,0.376,0.48,0.855,134,4852,271,55,45,104,133,92.7,55.5,78.4,2.8,471,-10,36,26,153,*98H37/5,DET
26,Jimmie Foxx,92.1,1925,1945,17-37,2317,9677,8134,1751,2646,1529,458,125,534,1922,87,77,1452,1311,0.325,0.428,0.609,1.038,163,4956,69,13,72,,134,92.1,58.2,90.6,-5.8,742,-19,-9,-28,19,*352H79/16,"BOS,CHC,PHA,PHI"
27,Wade Boggs,91.4,1982,1999,24-41,2439,10740,9180,1513,3010,2253,578,61,118,1014,24,35,1412,745,0.328,0.415,0.443,0.858,131,4064,236,23,29,96,180,91.4,57.4,81.4,13.9,441,-3,-8,-11,104,*5DH3/17,"BOS,NYY,TBD"
28,George Brett,88.6,1973,1993,20-40,2707,11625,10349,1583,3154,2035,665,137,317,1596,201,97,1096,908,0.305,0.369,0.487,0.857,135,5044,235,33,26,120,229,88.6,50.6,84.8,2.2,427,7,33,41,47,53DH796,KCR
29,Chipper Jones,85.3,1993,2012,21-40,2499,10614,8984,1619,2726,1671,549,38,468,1623,150,46,1512,1409,0.303,0.401,0.529,0.93,141,4755,253,18,3,97,177,85.3,53.4,88.3,-0.9,558,4,4,8,-24,57H6D/9,ATL
30,George Davis,84.9,1890,1909,19-38,2372,10188,9045,1545,2665,1976,453,163,73,1440,619,,874,613,0.295,0.362,0.405,0.767,121,3663,,75,184,,,84.9,48.6,70.9,24,279,0,20,20,146,65O43H/1,"CHW,CLV,NYG"
31,Charlie Gehringer,84.8,1924,1942,21-39,2323,10245,8860,1775,2839,1935,574,146,184,1427,181,93,1186,372,0.32,0.404,0.48,0.884,125,4257,27,50,141,,43,84.8,48.8,81.9,10.7,381,15,36,50,34,*4H/35,DET
32,Roger Connor,84.3,1880,1897,22-39,1998,8847,7797,1620,2467,1655,441,233,138,1323,244,,1002,455,0.316,0.397,0.486,0.883,153,3788,,39,9,,,84.3,54.2,79.4,6.3,582,0,-17,-17,82,*354O,"NYG,NYI,PHI,STL,TRO"
33,Ken Griffey Jr.,83.8,1989,2010,19-40,2671,11304,9801,1662,2781,1589,524,38,630,1836,184,69,1312,1779,0.284,0.37,0.538,0.907,136,5271,199,81,8,102,246,83.8,46.8,84.6,2.2,440,9,16,25,3,*89HD/73,"CHW,CIN,SEA"
34,Rod Carew,81.2,1967,1985,21-39,2469,10550,9315,1424,3053,2404,445,112,92,1015,353,187,1018,1028,0.328,0.393,0.429,0.822,131,3998,216,25,128,64,144,81.2,46.1,81,-1.7,407,17,26,42,14,34HD/657,"CAL,MIN"
35,Jeff Bagwell,79.9,1991,2005,23-37,2150,9431,7797,1517,2314,1345,488,32,449,1529,202,78,1401,1558,0.297,0.408,0.54,0.948,149,4213,221,128,3,102,155,79.9,52,74.8,-7.2,591,-17,31,14,54,*3HD/9,HOU
36,Dan Brouthers,79.8,1879,1904,21-46,1676,7691,6726,1529,2303,1528,462,206,107,1301,257,,840,238,0.342,0.423,0.52,0.943,171,3498,,105,20,,,79.8,55.1,82.4,-1.7,691,0,-18,-18,-14,*3O/15,"BLN,BOS,BRO,BSN,BUF,DTN,LOU,NYG,PHI,TRO"
37,Joe DiMaggio,79.1,1936,1951,21-36,1736,7672,6821,1390,2214,1333,389,131,361,1537,30,9,790,369,0.325,0.398,0.579,0.977,155,3948,130,46,14,,111,79.1,55.2,74.4,3.2,517,-10,42,31,49,*879H/3,NYY
38,Brooks Robinson,78.3,1955,1977,18-40,2896,11782,10654,1232,2848,2030,482,68,268,1357,28,22,860,990,0.267,0.322,0.401,0.723,105,4270,297,53,101,114,120,78.3,39.6,47.6,39.1,42,-28,1,-27,293,*54H/6,BAL
39,Arky Vaughan,77.9,1932,1948,20-36,1817,7723,6622,1173,2103,1523,356,128,96,926,118,90,937,276,0.318,0.406,0.453,0.859,136,3003,70,46,116,,85,77.9,51.8,76.1,12,357,34,11,45,21,*65H7/4,"BRO,PIT"
40,Robin Yount,77.4,1974,1993,18-37,2856,12249,11008,1632,3142,2182,583,126,251,1406,271,105,966,1350,0.285,0.342,0.43,0.772,115,4730,217,48,104,123,95,77.4,37.4,83.1,6.8,233,7,56,64,-48,68D7H3,MIL
41,Luke Appling,77.2,1930,1950,23-43,2422,10254,8856,1319,2749,2162,440,102,45,1116,179,108,1302,528,0.31,0.399,0.398,0.798,113,3528,129,11,74,,68,77.2,43.5,73.3,19.1,232,8,17,25,41,*65H4,CHW
42,Ozzie Smith,76.9,1978,1996,23-41,2573,10778,9396,1257,2460,1961,402,69,28,793,580,148,1072,589,0.262,0.337,0.328,0.666,87,3084,167,33,214,63,79,76.9,42,48.8,44.2,-117,23,80,103,239,*6H,"SDP,STL"
43,Paul Molitor,75.7,1978,1998,21-41,2683,12167,10835,1782,3319,2366,605,114,234,1307,504,131,1094,1244,0.306,0.369,0.448,0.817,122,4854,209,47,75,109,100,75.7,37.4,75.6,-6.9,351,5,78,83,8,D54368H/79,"MIL,MIN,TOR"
44,Sam Crawford,75.4,1899,1917,19-37,2517,10627,9570,1391,2961,2097,458,309,97,1523,367,43,760,580,0.309,0.362,0.452,0.814,144,4328,,23,241,,,75.4,35,80.4,-18.1,480,0,-3,-3,-36,*983OH7,"CIN,DET"
45,Johnny Bench,75.1,1967,1983,19-35,2158,8674,7658,1091,2048,1254,381,24,389,1376,68,43,891,1278,0.267,0.342,0.476,0.817,126,3644,201,19,11,90,135,75.1,46.6,65.7,19.7,269,-15,-2,-17,72,253H79/8,CIN
46,Paul Waner,74.7,1926,1945,23-42,2549,10769,9459,1627,3152,2243,605,191,113,1309,104,101,1091,376,0.333,0.404,0.473,0.878,134,4478,127,38,174,,53,74.7,39.7,73.3,-9.6,499,6,-2,3,23,*9H378,"BRO,BSN,NYY,PIT"
47,Reggie Jackson,74,1967,1987,21-41,2820,11418,9864,1551,2584,1509,463,49,563,1702,228,115,1375,2597,0.262,0.356,0.49,0.846,139,4834,183,96,13,68,164,74,35.4,77.3,-16.4,477,10,-9,2,-23,*9D8H7,"BAL,CAL,KCA,NYY,OAK"
48,Frank Thomas,73.8,1990,2008,22-40,2322,10075,8199,1494,2468,1440,495,12,521,1704,32,23,1667,1397,0.301,0.419,0.555,0.974,156,4550,226,87,0,121,168,73.8,39.3,80.4,-22.5,691,-27,-24,-52,-65,D3H,"CHW,OAK,TOR"
49,Jim Thome,73.1,1991,2012,20-41,2543,10313,8422,1583,2328,1239,451,26,612,1699,19,20,1747,2548,0.276,0.402,0.554,0.956,147,4667,165,69,1,74,173,73.1,37.6,77.7,-16.4,587,3,-27,-24,-45,3D5H,"BAL,CHW,CLE,LAD,MIN,PHI"
50,Larry Walker,72.7,1989,2005,22-38,1988,8030,6907,1355,2160,1244,471,62,383,1311,230,76,913,1231,0.313,0.4,0.565,0.965,141,3904,153,138,7,65,117,72.7,48.3,62.8,2,420,10,40,51,94,*9H387D/45,"COL,MON,STL"
51,Harry Heilmann,72.2,1914,1932,19-37,2147,8972,7787,1291,2660,1784,542,151,183,1543,113,74,856,550,0.342,0.41,0.52,0.93,148,4053,,40,277,,36,72.2,37.9,76.9,-14,541,0,-3,-3,-44,93H84/7,"CIN,DET"
52,Frankie Frisch,72,1919,1937,21-39,2311,10101,9112,1532,2880,2171,466,138,105,1244,419,176,728,272,0.316,0.369,0.432,0.801,110,3937,55,31,229,,25,72,39.7,58.6,21.6,161,-1,36,34,140,456H,"NYG,STL"
53,Derek Jeter,71.3,1995,2014,21-40,2747,12602,11195,1923,3465,2595,544,66,260,1311,358,97,1082,1840,0.31,0.377,0.44,0.817,115,4921,287,170,97,58,39,71.3,29.9,96.3,-9.4,353,7,56,63,-253,*6D/H,NYY
