1882,AA,Pete Browning
,NL,Dan Brouthers
Year,League,Batting Champ
1881,NL,Cap Anson
1880,NL,George Gore
1879,NL,Cap Anson
1878,NL,Abner Dalrymple
1877,NL,Deacon White
1876,NL,Ross Barnes
1875,NA,Deacon White
1874,NA,Levi Meyerle
1873,NA,Ross Barnes
1872,NA,Ross Barnes
1871,NA,Levi Meyerle
