,NL,Edd Roush
1918,AL,Ty Cobb
,NL,Zack Wheat
1917,AL,Ty Cobb
,NL,Edd Roush
1916,AL,Tris Speaker
,NL,Hal Chase
1915,AL,Ty Cobb
,FL,Benny Kauff
,NL,Larry Doyle
Year,League,Batting Champ
1914,AL,Ty Cobb
,FL,Benny Kauff
,NL,Jake Daubert
1913,AL,Ty Cobb
,NL,Jake Daubert
1912,AL,Ty Cobb
,NL,Heinie Zimmerman
1911,AL,Ty Cobb
,NL,Honus Wagner
1910,AL,Ty Cobb
,NL,Sherry Magee
1909,AL,Ty Cobb
,NL,Honus Wagner
1908,AL,Ty Cobb
,NL,Honus Wagner
1907,AL,Ty Cobb
,NL,Honus Wagner
1906,AL,George Stone
,NL,Honus Wagner
1905,AL,Elmer Flick
,NL,Cy Seymour
1904,AL,Nap Lajoie
,NL,Honus Wagner
1903,AL,Nap Lajoie
,NL,Honus Wagner
1902,AL,Ed Delahanty
,NL,Ginger Beaumont
1901,AL,Nap Lajoie
,NL,Jesse Burkett
1900,NL,Honus Wagner
Year,League,Batting Champ
1899,NL,Ed Delahanty
1898,NL,Willie Keeler
1897,NL,Willie Keeler
1896,NL,Jesse Burkett
1895,NL,Jesse Burkett
1894,NL,Hugh Duffy
1893,NL,Hugh Duffy
1892,NL,Dan Brouthers
1891,AA,Dan Brouthers
,NL,Billy Hamilton
1890,AA,Chicken Wolf
,NL,Jack Glasscock
,PL,Pete Browning
1889,AA,Tommy Tucker
,NL,Dan Brouthers
1888,AA,Tip O'Neill
,NL,Cap Anson
1887,AA,Tip O'Neill
,NL,Cap Anson
1886,AA,Guy Hecker
,NL,King Kelly
1885,AA,Pete Browning
,NL,Roger Connor
1884,AA,Dave Orr
,NL,Jim O'Rourke
,UA,Fred Dunlap
1883,AA,Ed Swartwood
,NL,Dan Brouthers
