Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Carl Yastrzemski,22,42,615,21,3041,11025,1707,3163,2088,591,53,431,1708.0,1075,162.0,111.0,1741,1268.0,5153,291.0,35.0,11.0,99.0,176.0,96.8,4.6,2.6,0.287,0.443,0.467,0.91,13,7,0,0,1,0,7,7,0,13,1,hof
Carlos Beltrán,21,40,552,20,2586,9768,1582,2725,1647,565,78,435,1587.0,1078,312.0,49.0,1084,1795.0,4751,203.0,51.0,18.0,110.0,104.0,70.2,3.5,2.5,0.279,0.389,0.486,0.875,0,3,2,0,0,0,8,17,2,1,0,retired
Carlos Delgado,21,37,509,17,2035,7283,1241,2038,1064,483,18,473,1512.0,974,14.0,8.0,1109,1745.0,3976,152.0,172.0,0.0,93.0,186.0,44.4,2.6,2.1,0.28,0.44,0.546,0.986,2,0,3,0,0,0,3,14,3,0,0,retired
Carlos Lee,23,36,626,13,1942,7378,1058,2124,1332,440,18,334,1274.0,792,122.0,44.0,618,925.0,3602,186.0,44.0,3.0,94.0,59.0,30.7,2.4,5.6,0.288,0.371,0.488,0.859,3,0,2,0,0,0,7,10,2,1,0,retired
Carlton Fisk,23,44,443,21,2347,8241,1232,2245,1427,410,47,361,1263.0,818,126.0,53.0,825,1281.0,3832,194.0,136.0,25.0,72.0,103.0,71.10000000000001,3.4,7.2,0.272,0.379,0.465,0.844,10,1,3,0,0,0,2,10,3,8,0,hof
Carney Lansford,21,35,527,15,1862,7158,1007,2074,1551,332,40,151,874.0,523,224.0,104.0,553,719.0,2939,166.0,64.0,53.0,77.0,45.0,40.5,2.7,3.3,0.29,0.369,0.411,0.78,1,0,1,0,0,0,5,13,1,1,0,retired
Cecil Cooper,21,37,467,17,1896,7349,1012,2192,1489,415,47,241,1125.0,703,89.0,49.0,448,911.0,3424,150.0,17.0,46.0,79.0,79.0,35.9,2.1,-0.1,0.298,0.357,0.466,0.823,5,2,3,0,0,0,3,11,3,3,0,retired
Chase Utley,24,39,491,16,1937,6857,1103,1885,1157,411,58,259,1025.0,728,154.0,22.0,724,1193.0,3189,93.0,204.0,6.0,72.0,62.0,64.6,4.0,1.9,0.275,0.394,0.465,0.859,5,0,4,0,0,0,4,11,4,1,0,retired
Chet Lemon,20,35,492,16,1988,6868,973,1875,1203,396,61,215,884.0,672,58.0,76.0,749,1024.0,3038,174.0,151.0,50.0,54.0,46.0,55.800000000000004,3.5,4.6,0.273,0.392,0.442,0.834,3,0,0,0,0,0,8,13,0,3,0,retired
Chili Davis,21,39,526,19,2435,8673,1240,2380,1576,424,30,350,1372.0,804,142.0,98.0,1194,1698.0,3914,232.0,15.0,20.0,94.0,188.0,38.5,2.0,3.6,0.274,0.409,0.451,0.86,3,0,0,0,0,0,10,16,0,3,0,retired
Chipper Jones,21,40,559,19,2499,8984,1619,2726,1671,549,38,468,1623.0,1055,150.0,46.0,1512,1409.0,4755,253.0,18.0,3.0,97.0,177.0,85.3,4.5,7.7,0.303,0.468,0.529,0.997,7,9,3,0,1,0,5,6,2,10,1,hof
Chris Speier,21,39,429,19,2260,7156,770,1759,1295,302,50,112,720.0,464,42.0,54.0,847,988.0,2497,183.0,35.0,73.0,44.0,106.0,30.699999999999996,1.6,3.6,0.246,0.365,0.349,0.714,2,0,0,0,0,0,6,17,0,2,0,retired
Chuck Knoblauch,22,33,616,12,1632,6366,1132,1839,1355,322,64,98,615.0,484,407.0,117.0,804,730.0,2583,116.0,139.0,20.0,56.0,22.0,44.8,3.7,0.4,0.289,0.424,0.406,0.83,4,1,2,0,0,0,4,7,2,3,0,retired
